pack,rpt,motion,flight,timestamp,flight_id,source_dir,total_log_duration_s,active_duration_s,attitude_rmse_x_rad,attitude_rmse_y_rad,attitude_rmse_z_rad,position_rmse_x_m,position_rmse_y_m,position_rmse_z_m,omega_rmse_x_rad_s,omega_rmse_y_rad_s,omega_rmse_z_rad_s,velocity_rmse_x_m_s,velocity_rmse_y_m_s,velocity_rmse_z_m_s,acceleration_rmse_x_m_s2,acceleration_rmse_y_m_s2,acceleration_rmse_z_m_s2
PC,2,H,1,2026-08-28 14:07:46,PC_2_H_1,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 14-07-46_PC_2_H_1,1137.0455,1093.6777,0.19196417,0.039797002,0.017520948,0.028247933,0.53456417,0.011844928,0.43118545,0.1801413,0.024007867,0.089120006,1.3188118,0.041943374,0.31030211,2.0215154,0.17656195
PC,2,H,2,2026-08-28 15:29:46,PC_2_H_2,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 15-29-46_PC_2_H_2,1137.3448,1101.886,0.19084455,0.040461538,0.018169233,0.033974558,0.52138822,0.011358971,0.42617124,0.17708089,0.024478623,0.098922454,1.2876787,0.040053829,0.31110526,1.9796372,0.16890908
PC,2,H,3,2026-08-28 16:47:50,PC_2_H_3,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 16-47-50_PC_2_H_3,1152.3523,1107.4012,0.19138431,0.037265221,0.017597248,0.028894204,0.51397527,0.010565953,0.42232839,0.16888496,0.025028561,0.086073511,1.269127,0.038542463,0.28152308,1.9832288,0.16863783
PC,2,H,4,2026-08-28 19:00:40,PC_2_H_4,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 19-00-40_PC_2_H_4,1147.5106,1094.1618,0.19176742,0.037556584,0.017184858,0.024814203,0.5312755,0.010847814,0.42704281,0.17153649,0.024286184,0.079011159,1.3120377,0.03915947,0.2864827,2.0458567,0.16945399
PC,2,H,5,2026-08-28 20:22:26,PC_2_H_5,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-28 20-22-26_PC_2_H_5,1146.0447,1101.9246,0.1906094,0.040149318,0.018081985,0.025386762,0.51857511,0.010229622,0.42324782,0.17747965,0.024651422,0.083106374,1.2810576,0.037852568,0.30855441,2.001614,0.16721946
PC,2,H,6,2026-08-31 18:47:25,PC_2_H_6,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-31 18-47-25_PC_2_H_6,1138.1284,1094.8796,0.19556527,0.038795441,0.017067817,0.042232355,0.54588738,0.0095199465,0.42901398,0.16286201,0.022735411,0.11926789,1.346695,0.037214712,0.32863646,2.057564,0.16704973
PC,2,H,7,2026-08-31 20:07:06,PC_2_H_7,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-08-31 20-07-06_PC_2_H_7,1139.9897,1108.6826,0.19084674,0.039050137,0.016954066,0.044268304,0.50716829,0.0087413014,0.4180282,0.15965193,0.021723682,0.12080208,1.2530889,0.035533778,0.32300096,1.943417,0.16542028
PC,2,H,8,2026-09-01 09:55:42,PC_2_H_8,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-09-01 09-55-42_PC_2_H_8,1150.903,1090.8362,0.19612756,0.038279554,0.016974873,0.044302672,0.54394492,0.010613385,0.4304384,0.15436765,0.024475237,0.12216853,1.340827,0.041235552,0.31635901,2.069894,0.18414974
PC,2,H,9,2026-09-01 11:09:13,PC_2_H_9,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-09-01 11-09-13_PC_2_H_9,1147.8895,1097.9852,0.19126886,0.043137167,0.018478476,0.041103595,0.52353992,0.0084189048,0.42689121,0.17126472,0.022684043,0.11669642,1.2899736,0.037632373,0.34509048,1.9963401,0.1833943
PC,2,H,10,2026-09-01 12:39:07,PC_2_H_10,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_2/2026-09-01 12-39-07_PC_2_H_10,1155.4109,1098.3916,0.19286439,0.04343041,0.018603075,0.042925179,0.52544418,0.0085752297,0.42767398,0.17365107,0.021437534,0.12128223,1.2953112,0.037237407,0.35539354,2.0135338,0.18041823
