pack,rpt,motion,flight,timestamp,flight_id,source_dir,total_log_duration_s,active_duration_s,attitude_rmse_x_rad,attitude_rmse_y_rad,attitude_rmse_z_rad,position_rmse_x_m,position_rmse_y_m,position_rmse_z_m,omega_rmse_x_rad_s,omega_rmse_y_rad_s,omega_rmse_z_rad_s,velocity_rmse_x_m_s,velocity_rmse_y_m_s,velocity_rmse_z_m_s,acceleration_rmse_x_m_s2,acceleration_rmse_y_m_s2,acceleration_rmse_z_m_s2
PB,1,V,1,2026-08-20 14:54:10,PB_1_V_1,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 14-54-10_PB_1_V_1,1035.8387,989.74198,0.034756845,0.037331971,0.008845504,0.028613719,0.029004699,0.13848002,0.11778364,0.11634233,0.035494824,0.0892062,0.089911469,0.3720005,0.24575938,0.25950684,0.98207852
PB,1,V,2,2026-08-20 16:06:31,PB_1_V_2,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 16-06-31_PB_1_V_2,1071.1467,1004.7749,0.039603839,0.049113555,0.0090941677,0.044076861,0.036346051,0.13214601,0.1231392,0.13606005,0.036200774,0.13484167,0.11624058,0.35713049,0.33683482,0.36459888,0.9471085
PB,1,V,3,2026-08-20 17:21:11,PB_1_V_3,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 17-21-11_PB_1_V_3,1013.1,978.84035,0.035264944,0.055532192,0.0097542313,0.046229122,0.028519997,0.13207611,0.11614529,0.15896143,0.039000215,0.1412294,0.087995078,0.35663684,0.35393765,0.2544955,0.94590086
PB,1,V,4,2026-08-20 18:29:23,PB_1_V_4,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 18-29-23_PB_1_V_4,1043.2338,1006.3474,0.035665833,0.043197372,0.01078571,0.029148689,0.028524465,0.13180178,0.1164786,0.1348428,0.042080909,0.091269069,0.088209838,0.35510024,0.2584346,0.25473973,0.95820851
PB,1,V,5,2026-08-20 20:12:52,PB_1_V_5,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 20-12-52_PB_1_V_5,1026.7716,995.89583,0.035722613,0.05002775,0.010288145,0.038344347,0.027115347,0.13372871,0.11561832,0.14769629,0.039799587,0.11833578,0.084326029,0.36087845,0.30850958,0.24328903,0.95623698
PB,1,V,6,2026-08-20 21:11:29,PB_1_V_6,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-20 21-11-29_PB_1_V_6,1090.7365,1053.9151,0.034462371,0.031847161,0.0097522447,0.022107017,0.030197557,0.13490874,0.11191826,0.1066807,0.038147028,0.070153844,0.092652813,0.36154815,0.20771661,0.25251283,0.95825882
PB,1,V,7,2026-08-21 10:17:11,PB_1_V_7,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 10-17-11_PB_1_V_7,1037.9351,994.6724,0.048181604,0.064678988,0.011284952,0.053992075,0.043427393,0.13697014,0.14598162,0.18005372,0.042117162,0.1655901,0.1319375,0.3689635,0.4161105,0.35219802,0.97981125
PB,1,V,8,2026-08-21 11:51:18,PB_1_V_8,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 11-51-18_PB_1_V_8,1186.2295,1136.5054,0.039711834,0.048260453,0.010878101,0.041332967,0.036407369,0.16757172,0.13363189,0.14138666,0.043630564,0.12675466,0.11103732,0.43261559,0.32556331,0.31016907,1.1305337
PB,1,V,9,2026-08-21 13:20:14,PB_1_V_9,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 13-20-14_PB_1_V_9,1253.7151,1160.124,0.036465466,0.046266492,0.0091666104,0.042604196,0.035344237,0.15333656,0.11966556,0.13245985,0.036978375,0.13051562,0.10688003,0.40289596,0.32919774,0.28912207,1.0614204
PB,1,V,10,2026-08-21 14:49:00,PB_1_V_10,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_1/2026-08-21 14-49-00_PB_1_V_10,1203.0173,1156.7908,0.040666189,0.035390902,0.0090314875,0.022164785,0.037763714,0.15542608,0.12700301,0.11918379,0.036226848,0.070701444,0.11520937,0.40571254,0.2157261,0.30561307,1.0699321
