pack,rpt,motion,flight,timestamp,flight_id,source_dir,total_log_duration_s,active_duration_s,attitude_rmse_x_rad,attitude_rmse_y_rad,attitude_rmse_z_rad,position_rmse_x_m,position_rmse_y_m,position_rmse_z_m,omega_rmse_x_rad_s,omega_rmse_y_rad_s,omega_rmse_z_rad_s,velocity_rmse_x_m_s,velocity_rmse_y_m_s,velocity_rmse_z_m_s,acceleration_rmse_x_m_s2,acceleration_rmse_y_m_s2,acceleration_rmse_z_m_s2
PB,0,V,1,2026-08-18 08:39:50,PB_0_V_1,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 08-39-50_PB_0_V_1,1040.4098,987.16295,0.041026209,0.041843785,0.010523553,0.029638978,0.030516513,0.13365201,0.13322059,0.13225745,0.035586162,0.093281266,0.09484767,0.35956588,0.26535191,0.28099113,0.95152921
PB,0,V,2,2026-08-18 09:40:14,PB_0_V_2,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 09-40-14_PB_0_V_2,1069.6488,1004.2974,0.038345536,0.041335838,0.0090883553,0.034467285,0.033610119,0.12671123,0.12095068,0.12575017,0.035730605,0.1062626,0.10273337,0.34268509,0.28680071,0.28869318,0.93046893
PB,0,V,3,2026-08-18 10:44:36,PB_0_V_3,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 10-44-36_PB_0_V_3,1061.4463,1015.1443,0.037699429,0.045350883,0.0085409095,0.035168641,0.031213211,0.13025608,0.12364994,0.13636242,0.033092139,0.10850592,0.095917578,0.35081062,0.28679384,0.27182274,0.93438558
PB,0,V,4,2026-08-18 11:46:11,PB_0_V_4,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 11-46-11_PB_0_V_4,1067.8041,1008.9171,0.033595651,0.03511965,0.007328471,0.022228882,0.026706695,0.12864993,0.11166599,0.11474438,0.029009979,0.07043368,0.082106071,0.34824107,0.20953322,0.23868251,0.9330343
PB,0,V,5,2026-08-18 13:11:09,PB_0_V_5,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 13-11-09_PB_0_V_5,1063.5908,985.75034,0.029691194,0.044703554,0.0074556744,0.039271761,0.023735007,0.13081608,0.10355813,0.13067467,0.030268546,0.12032466,0.07336946,0.35345187,0.30265771,0.21576954,0.93368948
PB,0,V,6,2026-08-18 14:11:29,PB_0_V_6,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 14-11-29_PB_0_V_6,1050.129,989.36108,0.033800208,0.037751788,0.0080133633,0.025188588,0.025723099,0.12755486,0.11400649,0.12156783,0.031482414,0.079420878,0.079600565,0.34472453,0.22657141,0.23535663,0.91825201
PB,0,V,7,2026-08-18 15:21:22,PB_0_V_7,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 15-21-22_PB_0_V_7,1043.9016,994.98379,0.035697034,0.061577874,0.0083550723,0.053392446,0.028813438,0.12985897,0.11516533,0.17201111,0.032628492,0.16291123,0.088538041,0.35049951,0.40050925,0.25016868,0.92762101
PB,0,V,8,2026-08-18 16:19:07,PB_0_V_8,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 16-19-07_PB_0_V_8,1049.9829,998.54665,0.033582288,0.032051155,0.0079835733,0.021385699,0.028508381,0.12630175,0.11112386,0.10710154,0.032423125,0.068011107,0.087520771,0.3417081,0.20312721,0.24629711,0.9132663
PB,0,V,9,2026-08-18 18:39:16,PB_0_V_9,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 18-39-16_PB_0_V_9,1019.0129,982.07537,0.033171517,0.047094944,0.0083956651,0.039937375,0.027945467,0.13336376,0.10888613,0.13756082,0.033280511,0.12255493,0.086238608,0.3595375,0.3122961,0.24380584,0.9535056
PB,0,V,10,2026-08-18 19:34:00,PB_0_V_10,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_0/2026-08-18 19-34-00_PB_0_V_10,1051.6244,1005.9989,0.035301497,0.028409717,0.0084660559,0.018490477,0.030271427,0.12450431,0.11371092,0.097544074,0.033901089,0.059127866,0.093355991,0.33761935,0.18175327,0.25729406,0.89558426
