pack,rpt,available_flights,attitude_rmse_x_rad_mean,attitude_rmse_x_rad_std,attitude_rmse_x_rad_slope_per_flight,attitude_rmse_y_rad_mean,attitude_rmse_y_rad_std,attitude_rmse_y_rad_slope_per_flight,attitude_rmse_z_rad_mean,attitude_rmse_z_rad_std,attitude_rmse_z_rad_slope_per_flight,position_rmse_x_m_mean,position_rmse_x_m_std,position_rmse_x_m_slope_per_flight,position_rmse_y_m_mean,position_rmse_y_m_std,position_rmse_y_m_slope_per_flight,position_rmse_z_m_mean,position_rmse_z_m_std,position_rmse_z_m_slope_per_flight,omega_rmse_x_rad_s_mean,omega_rmse_x_rad_s_std,omega_rmse_x_rad_s_slope_per_flight,omega_rmse_y_rad_s_mean,omega_rmse_y_rad_s_std,omega_rmse_y_rad_s_slope_per_flight,omega_rmse_z_rad_s_mean,omega_rmse_z_rad_s_std,omega_rmse_z_rad_s_slope_per_flight,velocity_rmse_x_m_s_mean,velocity_rmse_x_m_s_std,velocity_rmse_x_m_s_slope_per_flight,velocity_rmse_y_m_s_mean,velocity_rmse_y_m_s_std,velocity_rmse_y_m_s_slope_per_flight,velocity_rmse_z_m_s_mean,velocity_rmse_z_m_s_std,velocity_rmse_z_m_s_slope_per_flight,acceleration_rmse_x_m_s2_mean,acceleration_rmse_x_m_s2_std,acceleration_rmse_x_m_s2_slope_per_flight,acceleration_rmse_y_m_s2_mean,acceleration_rmse_y_m_s2_std,acceleration_rmse_y_m_s2_slope_per_flight,acceleration_rmse_z_m_s2_mean,acceleration_rmse_z_m_s2_std,acceleration_rmse_z_m_s2_slope_per_flight
PB,0,10,0.035191056,0.0031964359,-0.00059341261,0.041523919,0.0092799068,-0.00045253697,0.0084150694,0.00090493229,-0.00013645756,0.031917013,0.010709244,-0.00031244284,0.028704336,0.0028732419,-0.00028529797,0.1291669,0.0029992594,-0.0003343473,0.1155938,0.0084050754,-0.0018286234,0.12755744,0.020298039,-0.0012930723,0.032740306,0.0021219527,-0.0001429817,0.099083415,0.03165691,-0.00096533022,0.088422812,0.0086699547,-0.00088088164,0.34888435,0.0073734801,-0.00076979672,0.26753946,0.065162395,-0.0030024928,0.25288814,0.022285968,-0.0036428336,0.92913367,0.017188246,-0.0029061917
PB,1,10,0.038050154,0.0042131297,0.00054386063,0.046164684,0.0098117786,-0.00016662728,0.0098881154,0.00087591748,5.3103782e-05,0.036861378,0.0107994,-0.0002093152,0.033265083,0.0053496477,0.00096391693,0.14164459,0.012549482,0.0030000704,0.12273654,0.01033699,0.0013993996,0.13736676,0.021493673,4.312138e-05,0.038967629,0.0028656297,0.00020387492,0.11385978,0.032007084,-0.00057222824,0.10244,0.016018273,0.0025265353,0.37734822,0.026800066,0.0063389082,0.29977903,0.066343953,-0.00056603636,0.2886245,0.043572275,0.002827788,0.99894897,0.064591045,0.015641577
PB,2,10,0.036723066,0.0022224255,-0.00050053824,0.044015659,0.0072919098,-0.0015186893,0.01019606,0.00054589499,-0.00011723799,0.035328229,0.0091982476,-0.001908038,0.031022696,0.0026267576,-0.00049772859,0.15970565,0.003446812,0.00019953264,0.12090186,0.0066032511,-0.0014008704,0.1349252,0.014871945,-0.0032010494,0.040232502,0.0024426686,-0.00055191712,0.1094297,0.027023378,-0.0055763615,0.094968002,0.0077367066,-0.0014113054,0.41723072,0.0076626046,0.00020262842,0.29320817,0.052087208,-0.011473969,0.27258323,0.021589511,-0.0039863569,1.1024677,0.024087829,-0.0020892037
PB,3,10,0.041108045,0.0038620565,-0.00050496451,0.062794317,0.011190314,0.00077359199,0.0097219101,0.0023528775,-0.00014706007,0.056206091,0.016150368,0.0020307012,0.037927079,0.003070274,0.00035246042,0.16117286,0.0030489305,-0.00018643812,0.13216275,0.01108069,-0.0016989088,0.17371502,0.022595381,0.00042113901,0.035172584,0.0018627158,1.1489927e-05,0.17203762,0.047620253,0.00589538,0.11497041,0.0090250595,0.00091980264,0.42023575,0.0073818978,-0.00046536535,0.42838245,0.097120434,0.010818115,0.31414479,0.022262561,0.0005508019,1.1031455,0.019048498,-0.0011346855
