pack,rpt,motion,flight,timestamp,flight_id,source_dir,total_log_duration_s,active_duration_s,attitude_rmse_x_rad,attitude_rmse_y_rad,attitude_rmse_z_rad,position_rmse_x_m,position_rmse_y_m,position_rmse_z_m,omega_rmse_x_rad_s,omega_rmse_y_rad_s,omega_rmse_z_rad_s,velocity_rmse_x_m_s,velocity_rmse_y_m_s,velocity_rmse_z_m_s,acceleration_rmse_x_m_s2,acceleration_rmse_y_m_s2,acceleration_rmse_z_m_s2
PB,3,V,1,2026-09-01 15:27:52,PB_3_V_1,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-01 15-27-52_PB_3_V_1,1180.1503,1125.8938,0.039997586,0.069265048,0.0086136951,0.066573971,0.037268894,0.16551905,0.13195018,0.18341685,0.035050521,0.20260177,0.11235162,0.43136012,0.48896064,0.31099551,1.1295973
PB,3,V,2,2026-09-01 16:45:13,PB_3_V_2,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-01 16-45-13_PB_3_V_2,1184.5978,1139.8155,0.046991712,0.049509936,0.0088640539,0.028919347,0.038317493,0.15900574,0.1493828,0.15676333,0.034749386,0.092401535,0.11766414,0.41440331,0.27728366,0.32847333,1.0892588
PB,3,V,3,2026-09-01 19:05:17,PB_3_V_3,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-01 19-05-17_PB_3_V_3,1175.2233,1133.8942,0.036171953,0.044863025,0.0085820589,0.036609892,0.033573258,0.16340689,0.11941997,0.13633805,0.034897067,0.1134846,0.10226715,0.42588144,0.30135064,0.28248508,1.1162828
PB,3,V,4,2026-09-01 20:24:11,PB_3_V_4,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-01 20-24-11_PB_3_V_4,1177.0653,1140.0356,0.044655569,0.059505126,0.016166686,0.040659351,0.033549621,0.15612353,0.13482578,0.17880744,0.031665707,0.12697841,0.10267541,0.40872838,0.34459938,0.28870032,1.0728866
PB,3,V,5,2026-09-02 11:02:24,PB_3_V_5,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 11-02-24_PB_3_V_5,1182.2874,1125.2802,0.046399367,0.086035397,0.010643118,0.082214469,0.040631684,0.16520353,0.14947513,0.22468826,0.038894445,0.24976518,0.1229435,0.42963991,0.59997449,0.34304591,1.1314997
PB,3,V,6,2026-09-02 12:14:30,PB_3_V_6,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 12-14-30_PB_3_V_6,1182.9207,1139.0816,0.040163861,0.067804453,0.0092310471,0.06713051,0.040258852,0.1593025,0.13167917,0.18006327,0.036509881,0.2040666,0.12165709,0.41500543,0.49272044,0.32905855,1.0900104
PB,3,V,7,2026-09-02 13:31:57,PB_3_V_7,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 13-31-57_PB_3_V_7,1178.7968,1133.4058,0.040566799,0.061618081,0.0090928361,0.056684265,0.037227872,0.16097544,0.13380883,0.17041724,0.035831515,0.17306501,0.11308291,0.41918756,0.42632435,0.31236662,1.099644
PB,3,V,8,2026-09-02 14:54:46,PB_3_V_8,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 14-54-46_PB_3_V_8,1186.8987,1141.988,0.039618333,0.060713678,0.0089330831,0.059892321,0.040539392,0.16049363,0.12807705,0.16211693,0.035742647,0.18231506,0.12238131,0.41870954,0.44158315,0.32428817,1.0982793
PB,3,V,9,2026-09-02 16:24:19,PB_3_V_9,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 16-24-19_PB_3_V_9,1184.8698,1137.3704,0.040883213,0.063709662,0.0088237428,0.061563579,0.042413815,0.15871174,0.12830248,0.17118254,0.03460327,0.1875158,0.12802717,0.41479057,0.45585638,0.33759072,1.0903831
PB,3,V,10,2026-09-02 19:31:29,PB_3_V_10,/Users/dh/Documents/DBD_26/Dataset/PB/방전로그/PB_3/2026-09-02 19-31-29_PB_3_V_10,1176.0881,1127.3428,0.03563206,0.06491876,0.00826878,0.061813209,0.035489908,0.16298653,0.11470614,0.17335626,0.033781397,0.18818226,0.10665377,0.42465127,0.45517136,0.2844437,1.113613
