pack,rpt,motion,flight,timestamp,flight_id,source_dir,total_log_duration_s,active_duration_s,attitude_rmse_x_rad,attitude_rmse_y_rad,attitude_rmse_z_rad,position_rmse_x_m,position_rmse_y_m,position_rmse_z_m,omega_rmse_x_rad_s,omega_rmse_y_rad_s,omega_rmse_z_rad_s,velocity_rmse_x_m_s,velocity_rmse_y_m_s,velocity_rmse_z_m_s,acceleration_rmse_x_m_s2,acceleration_rmse_y_m_s2,acceleration_rmse_z_m_s2
PC,1,H,1,2026-08-21 10:51:07,PC_1_H_1,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 10-51-07_PC_1_H_1,1018.063,973.19296,0.18913028,0.037067487,0.018043959,0.023992433,0.46542936,0.0088445392,0.4179338,0.16461625,0.026081172,0.075099999,1.1536207,0.037004772,0.26836708,1.8217022,0.17367809
PC,1,H,2,2026-08-21 12:22:48,PC_1_H_2,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 12-22-48_PC_1_H_2,1157.1209,1111.301,0.19140074,0.03702377,0.016672012,0.021002113,0.50926356,0.0096432548,0.4241689,0.1618488,0.025660102,0.072901572,1.2583546,0.038350884,0.27976057,1.9466651,0.17400335
PC,1,H,3,2026-08-21 14:06:08,PC_1_H_3,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 14-06-08_PC_1_H_3,1152.3843,1111.6696,0.19182085,0.03790027,0.016799429,0.0220085,0.50790366,0.0091830583,0.42125707,0.16174198,0.025092336,0.077638614,1.2519408,0.036765828,0.29331451,1.9654035,0.16983885
PC,1,H,4,2026-08-21 15:37:20,PC_1_H_4,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 15-37-20_PC_1_H_4,1169.4403,1110.4556,0.19069254,0.036834028,0.016619812,0.023412567,0.50398195,0.0091087842,0.41872286,0.16073569,0.025542094,0.077803309,1.244788,0.03702663,0.27964483,1.9388072,0.17071863
PC,1,H,5,2026-08-21 17:41:04,PC_1_H_5,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 17-41-04_PC_1_H_5,1167.6237,1105.8957,0.19195188,0.033971129,0.01581602,0.020049003,0.51475918,0.0087138874,0.42545161,0.15485048,0.025009263,0.068151768,1.2697971,0.036232285,0.25619402,1.9797511,0.16932951
PC,1,H,6,2026-08-21 18:57:46,PC_1_H_6,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-21 18-57-46_PC_1_H_6,1133.7157,1099.7932,0.19165182,0.043788017,0.021581978,0.031946104,0.51907136,0.0097960056,0.41708158,0.18269399,0.024907202,0.0962924,1.2807865,0.037949636,0.31386681,1.9973072,0.17117403
PC,1,H,7,2026-08-23 20:02:33,PC_1_H_7,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-23 20-02-33_PC_1_H_7,1149.571,1099.4668,0.19055827,0.03855251,0.017436343,0.019625255,0.52519641,0.0094783152,0.42323111,0.17252321,0.02667059,0.072189881,1.2947379,0.037977027,0.29232118,1.9946193,0.17462213
PC,1,H,8,2026-08-23 21:12:00,PC_1_H_8,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-23 21-12-00_PC_1_H_8,1149.479,1106.7471,0.19060633,0.039750973,0.018151455,0.020203193,0.51144577,0.0093525653,0.41979128,0.17605353,0.025989275,0.073176562,1.2610199,0.037387774,0.29895133,1.9607534,0.16989229
PC,1,H,9,2026-08-24 12:35:56,PC_1_H_9,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-24 12-35-56_PC_1_H_9,1135.4464,1097.0062,0.19031514,0.0392935,0.017667247,0.020363286,0.53075267,0.0091400778,0.42725263,0.17484218,0.02632842,0.073687752,1.3046609,0.037708472,0.30205322,2.0262792,0.17690673
PC,1,H,10,2026-08-24 13:48:30,PC_1_H_10,/Users/dh/Documents/DBD_26/Dataset/PC/방전로그/PC_1/2026-08-24 13-48-30_PC_1_H_10,1146.8412,1098.3487,0.1921908,0.041883442,0.019967748,0.028963755,0.52850891,0.0089903087,0.42304885,0.17787742,0.025089313,0.091448912,1.3026457,0.037023046,0.30909617,2.0072457,0.17294295
